S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
2,KANHAIYA KUMAR,Indian National Congress,684501,1172,685673,44.16
3,ASHOK KUMAR,Bahujan Samaj Party,12053,85,12138,0.78
4,SUNITA,Navarang Congress Party,3518,0,3518,0.23
5,AKESHAN DUT,Independent,3325,0,3325,0.21
6,SUSHIL CHOUDHARY,Aapki Apni Party (Peoples),2066,4,2070,0.13
7,AJAY TIWARI,Right to Recall Party,2040,2,2042,0.13
8,SUBHASH,Rashtriya Janmorcha,1639,0,1639,0.11
9,AKASH SRIVASTAV,Jai Hind National Party,1317,0,1317,0.08
10,SANJEEV KUMAR PANDEY,Bharatiya Liberal Party,1163,0,1163,0.07
11,SAROJ KUMAR RAY,Independent,931,66,997,0.06
12,ADV. BHIM KISHOR,Peoples Party of India (Democratic),826,1,827,0.05
13,SANJEEV KUMAR,Public Political Party,799,0,799,0.05
14,PRAKASH DEVI,Socialist Unity Centre Of India (COMMUNIST),676,0,676,0.04
15,LAKSHYA VASHIST (SHYAM),Jindabad Kranti Party,653,0,653,0.04
16,BABITA YADAV,Aazad Samaj Party (Kanshi Ram),646,0,646,0.04
17,MANOJ KUMAR,Independent,559,2,561,0.04
18,NIVEDITA SHARMA “PREM”,Rashtrawadi Janlok Party (Satya),541,2,543,0.03
19,DR. RAJESH KUMAR SINGH,Independent,539,1,540,0.03
20,KANHI LAL,Swatantra Jantaraj Party,496,2,498,0.03
21,VIJAY KUMAR JHA,Independent,486,5,491,0.03
22,YOGESH SWAMY,Independent,410,0,410,0.03
23,ASHOK MISHRA,Independent,352,0,352,0.02
24,ADV. K.T. PALUSKAR,Prabuddha Republican Party,349,0,349,0.02
25,RAVI KIRAN THILAK THATIKONDA,Independent,324,0,324,0.02
26,ISHWAR CHAND,Bharatrashtra Democratic Party,310,0,310,0.02
27,JAGDISH,Rashtriya Samaj Paksha,276,0,276,0.02
28,BIRPAL SINGH KOLI,Independent,269,1,270,0.02
29,NOTA,None of the Above,5845,28,5873,0.38
1,HARSH MALHOTRA,Bharatiya Janata Party,663420,1399,664819,52.59
2,KULDEEP KUMAR (MONU),Aam Aadmi Party,570494,662,571156,45.18
3,MOHD. WAQAR CHOUDHARY,Bahujan Samaj Party,9158,39,9197,0.73
4,A. GOPALA KRISHNA,Navarang Congress Party,2807,10,2817,0.22
5,KULDEEP KUMAR,Independent,1579,3,1582,0.13
6,MANOJ KUMAR GUPTA (SWARAJI),Independent,1191,1,1192,0.09
7,RODASH GUPTA,Independent,1097,2,1099,0.09
8,JYOTI PRAKASH (MONU),Ekam Sanatan Bharat Dal,824,0,824,0.07
9,ARUNIMA GAUTAM,Independent,749,2,751,0.06
10,JAI RAM LAL,Rashtriya Republican Party,657,0,657,0.05
11,ADVOCATE MANJEET SINGH,Rashtra Nirman Party,614,0,614,0.05
12,MOHAMMAD IRFAN,Independent,582,1,583,0.05
13,OM SHANKAR,Independent,556,0,556,0.04
14,LAL SINGH,Bahujan Dravida Party,476,1,477,0.04
15,YOGESH CHAUDHARY,Bhartiya Veer Dal,468,2,470,0.04
16,VIMAL KUMAR SAXENA,Independent,427,6,433,0.03
17,SURENDRA SINGH BASOYA,Peoples Party of India (Democratic),392,7,399,0.03
18,SANJAY,Public Political Party,378,1,379,0.03
19,AMIT GUPTA,Independent,358,2,360,0.03
20,SANJAYA KUMAR YADAV,Right to Recall Party,289,1,290,0.02
21,NOTA,None of the Above,5371,23,5394,0.43
1,BANSURI SWARAJ,Bharatiya Janata Party,451464,1721,453185,53.48
2,SOMNATH BHARTI,Aam Aadmi Party,374032,783,374815,44.23
3,RAAJ KUMAR ANAND,Bahujan Samaj Party,5601,28,5629,0.66
4,SANJAY RAWAT,Independent,1271,5,1276,0.15
5,ACHLA JETHMALANI,Jindabad Kranti Party,1036,1,1037,0.12
6,HIRA LAL,Independent,1005,0,1005,0.12
7,PREM SINGH,Navarang Congress Party,800,6,806,0.1
8,UPEN‍DRA,Anjaan Aadmi Party,781,0,781,0.09
9,DILIP SINGH,Independent,725,1,726,0.09
10,LUKMAN KHAN,Log Party,654,2,656,0.08
11,PUNAM PANDEY,Rashtravadi Loktantrik Party (India),640,1,641,0.08
12,SANDHYA THAKKAR,Rashtriya Republican Party,485,1,486,0.06
13,RAVINDER SINGH,Independent,414,2,416,0.05
14,DINESH KUMAR,Peoples Party of India (Democratic),360,1,361,0.04
15,PRITHVI NATH SINGH,Bharatiya Sampuran Krantikari Party,335,0,335,0.04
16,MAHESH KUMAR DENWAL,Ambedkarite Party of India,287,1,288,0.03
17,MANOJ KUMAR SHARMA,Loktantrik Janshakti Party,208,4,212,0.03
18,NOTA,None of the Above,4791,22,4813,0.57
1,YOGENDER CHANDOLIYA,Bharatiya Janata Party,863255,3228,866483,58.26
2,UDIT RAJ,Indian National Congress,574451,1183,575634,38.71
3,VIJAY BAUDDH,Bahujan Samaj Party,11955,42,11997,0.81
4,SURESH KUMAR,Peoples Party of India (Democratic),2869,1,2870,0.19
5,SANJAY KUMAR SIWAL,Rashtriya Janshakti Party (Secular),2866,0,2866,0.19
6,SUBHASH,Asankhya Samaj Party,2250,0,2250,0.15
7,RAJENDER SOOD,Aam Janshakti Party,1468,10,1478,0.1
8,PRAVEEN GAUTAM,Navarang Congress Party,1455,1,1456,0.1
9,K M KAJAL,Public Political Party,1334,8,1342,0.09
10,NARESH KUMAR,Independent,1270,5,1275,0.09
11,ADVOCATE SATISH CHANDRA,Ambedkarite Party of India,1236,1,1237,0.08
12,PARMENDRA MANJHI,Independent,1102,0,1102,0.07
13,ADVOCATE DR. MAHENDER SINGH CHURIYANA,Bahujan Dravida Party,1015,1,1016,0.07
14,CHANDER PAL SONI,Independent,891,0,891,0.06
15,ADITI,Independent,790,0,790,0.05
16,ADV. KRUPAL,Prabuddha Republican Party,673,2,675,0.05
17,NAND RAM BAGRI,Voters Party International,638,0,638,0.04
18,SHYAM BHARTEEY,Gareeb Aadmi Party,629,3,632,0.04
19,HARI KISHAN (MECHANIC),Independent,547,1,548,0.04
20,POOJA (BHAGTANI),Bharatiya Jan Jagriti Party,504,5,509,0.03
21,NARESH KUMAR,Rashtriya Samaj Paksha,499,1,500,0.03
22,PREETI,Saman Adhikar Party,495,8,503,0.03
23,SATYA PRAKASH UTTRAKHANDI,Independent,433,1,434,0.03
24,KHILKHILAKAR,Bahujan Shoshit Samaj Sangharsh Samta Party,372,1,373,0.03
25,PRADEEP KUMAR,Independent,371,0,371,0.02
26,PUSHPA NAGRA,Independent,353,0,353,0.02
27,NOTA,None of the Above,8917,67,8984,0.6
1,KAMALJEET SEHRAWAT,Bharatiya Janata Party,838332,4326,842658,55.27
2,MAHABAL MISHRA,Aam Aadmi Party,641759,1886,643645,42.22
3,VISHAKHA,Bahujan Samaj Party,7899,65,7964,0.52
4,SABIR KHAN,Independent,3096,1,3097,0.2
5,AJ RAJAN,Navarang Congress Party,2381,6,2387,0.16
6,SUNIL MEGHWAL,Ambedkarite Party of India,1874,2,1876,0.12
7,OM PRAKASH NARAYAN,Aapki Apni Party (Peoples),1770,3,1773,0.12
8,ANJU SHARMA,Independent,1263,4,1267,0.08
9,KAPIL MARWAH,Independent,1154,1,1155,0.08
10,JARNAIL SINGH,Independent,1083,6,1089,0.07
11,MADHU,Akhil Bhartiya Parivar Party,1056,3,1059,0.07
12,RAJIV KANT MISHRA,Independent,995,0,995,0.07
13,RAMESH KUMAR JAIN @ NIRBHIK,Gareeb Aadmi Party,971,0,971,0.06
14,UMA SHANKAR TIWARI,Bhartiya Mahasangh Party,753,5,758,0.05
15,MEENA UJJAINWAL,Peoples Party of India (Democratic),752,4,756,0.05
16,CHARANJEET SINGH,All India Forward Bloc,614,5,619,0.04
17,UMESH CHAUHAN,Rashtriya Rashtrawadi Party,611,3,614,0.04
18,PRAMOD KUREEL,Bahujan National Party (Ambedkar),585,1,586,0.04
19,AMIT KUMAR SINGH,Rashtriya Suraksha Party,571,3,574,0.04
20,JAYA RAMAN,Sarvlokhit Samaj Party,439,7,446,0.03
21,RAM NARAYAN MOHANTY,Independent,433,1,434,0.03
22,CHAMAN LAL VERMA,Samaj Vikas Kranti Party,418,2,420,0.03
23,DEEPAK SHARMA,Bharatiya Jan Jagriti Party,362,8,370,0.02
24,RAVI,Independent,280,2,282,0.02
25,NOTA,None of the Above,8624,75,8699,0.57
1,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,691184,1648,692832,53.46
2,SAHI RAM,Aam Aadmi Party,567716,783,568499,43.87
3,ABDUL BASIT,Bahujan Samaj Party,9829,32,9861,0.76
4,RAM GOPAL,Haryana Jansena Party,3956,2,3958,0.31
5,CHANDRASHEKHAR SINGH KUSHWAHA,Independent,1888,1,1889,0.15
6,DEEPAK KAPILA,Independent,1500,0,1500,0.12
7,OMAPRAKASH,Samaj Vikas Kranti Party,1364,1,1365,0.11
8,JAGDISH KUMAR VERMA,Independent,1295,1,1296,0.1
9,LAKHAN SINGH,Navarang Congress Party,967,3,970,0.07
10,POONAM SRIVASTAVA,Independent,951,7,958,0.07
11,ARUN KUMAR,Independent,842,0,842,0.06
12,RINKI SANYAL,Bharatiya Sampuran Krantikari Party,762,1,763,0.06
13,KAMLESH KUMAR JHA,Independent,714,0,714,0.06
14,SURJEET SINGH,Delhi Janta Party,637,1,638,0.05
15,BHIM SINGH,Ambedkarite Party of India,601,1,602,0.05
16,SURINDER KUMAR,Bharatheeya Jawan Kisan Party,592,0,592,0.05
17,GAUTAM ANAND,All India Forward Bloc,539,1,540,0.04
18,SHANKAR DEY,Independent,522,0,522,0.04
19,BIHARI LAL JALANDHARI,India Greens Party,511,3,514,0.04
20,NAVEEN KUMAR,Hamara Sahi Vikalp Party,475,1,476,0.04
21,VIRENDER,Independent,381,0,381,0.03
22,RAJAN SINGH,Independent,323,2,325,0.03
23,NOTA,None of the Above,5927,34,5961,0.46
