S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
18,ASHOK TALARI,Independent,831,6,837,0.07
19,ROMALA BABU DURGAIAH,India Praja Bandhu Party,601,2,603,0.05
20,NOTA,None of the Above,2933,44,2977,0.24
1,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,463777,7440,471217,33.99
2,NEELAM MADHU,Indian National Congress,427899,4179,432078,31.17
3,P. VENKATRAMA REDDY,Bharat Rashtra Samithi,395250,1540,396790,28.62
4,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,17191,25,17216,1.24
5,SARA YADAGIRI GOUD,Praja Velugu Party,11056,4,11060,0.8
6,BODAPATLA ESHWAR,Bahujan Samaj Party,7423,40,7463,0.54
7,DUBALA SRI SAILAM,Independent,5161,5,5166,0.37
8,ADLA KUMAR,Independent,5113,3,5116,0.37
9,BANDAPALLY SRINIVAS,Socialist Unity Centre Of India (COMMUNIST),2366,0,2366,0.17
10,ANIL GOUD,Bharat Jodo Party,2128,4,2132,0.15
11,ABHILASH CHELIMELA,Independent,2031,0,2031,0.15
12,ATI ANJANEYULU,Independent,2029,9,2038,0.15
13,MAISANGARI SUNIL,India Praja Bandhu Party,2009,2,2011,0.15
14,PRADEEP,Independent,2006,4,2010,0.14
15,INDRAGOUD SILIVERI,National Nava Kranthi Party,1773,1,1774,0.13
16,NAGAMANI ACHA,Independent,1538,2,1540,0.11
17,A. KRANTHI KUMAR,Independent,1465,2,1467,0.11
18,MAREPALLY LAXMINARAYANA,Independent,1411,3,1414,0.1
19,BALESH UPPARI,Independent,1390,3,1393,0.1
20,VENKATESH BEJUGAM,Independent,1263,1,1264,0.09
21,BOMMALA VIJAY KUMAR,Independent,1194,2,1196,0.09
22,ANNELA LAXMAN,Dharma Samaj Party,1143,9,1152,0.08
23,ABHILASH SHIRNA,Independent,923,1,924,0.07
24,DODLA VENKAT,Telangana Praja Shakthi Party,915,2,917,0.07
25,ABISHEK GOUD THABETI,Jana Shankhaaraavam Party,792,5,797,0.06
26,MEDI SRINIVAS REDDI,Independent,791,2,793,0.06
27,VUTLA RAMESH,Independent,778,0,778,0.06
28,D. NARAHARI,Independent,674,1,675,0.05
29,GOLLAPALLY SAYA GOUD,Pyramid Party of India,656,2,658,0.05
30,SATYANARAYANA GOUD KOVURI,Independent,607,0,607,0.04
31,DASARI BHANUCHANDER,Independent,573,2,575,0.04
32,DADIGE RAJENDAR,Independent,556,3,559,0.04
33,C.H. NAVEEN KUMAR,Independent,529,2,531,0.04
34,KONDI ASHOK,Independent,509,0,509,0.04
35,URELLI YELLAIAH,Viduthalai Chiruthaigal Katchi,492,2,494,0.04
36,GONDHI BHUJANGAMU,Independent,430,1,431,0.03
37,MOHD AZHER,Independent,414,2,416,0.03
38,S RAJESH SAGAR,Independent,348,0,348,0.03
39,KASOJU SRIKANTH,Independent,344,0,344,0.02
40,K. LAXMINARAYANA,Independent,317,0,317,0.02
41,KOLKUR PRATAP,Independent,292,1,293,0.02
42,GADILA ANJANEYULU,Independent,289,1,290,0.02
43,GOUTI MALLESH,Independent,247,1,248,0.02
44,K.RAGHU,Independent,222,2,224,0.02
45,NOTA,None of the Above,4582,35,4617,0.33
1,EATALA RAJENDER,Bharatiya Janata Party,980712,10330,991042,51.25
2,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,593337,6230,599567,31.0
3,RAGIDI LAXMA REDDY,Bharat Rashtra Samithi,298697,1789,300486,15.54
4,THALLADA VENKATESWARLU,Independent,6784,16,6800,0.35
5,ANITHA REDDY SHEELAM,Bahujan Samaj Party,4718,61,4779,0.25
6,VAISHNAVI PRASAD,Independent,1894,18,1912,0.1
7,PAREE (PESARIKAYALA PAREEKSHITH REDDY),Independent,1831,4,1835,0.09
8,DONTHULA BIKSHAPATHI,Independent,1813,8,1821,0.09
9,BHARATHA SUDARSHAN,Independent,1639,4,1643,0.08
10,APPARAO KONDA,Rashtra Samanya Praja Party,1157,5,1162,0.06
11,MOUTAM SAMPATH,Independent,1135,2,1137,0.06
12,RAJESH MISHRA,Independent,1110,0,1110,0.06
13,BANJAPALLY SUDHA RANI,Independent,1064,5,1069,0.06
14,CHIRIPI REDDY RAMESH,Independent,986,1,987,0.05
15,PEDDAPALLI SANDEEP,Bharathiya YuvaKula Dalam,930,3,933,0.05
16,BOIN DURGA PRASAD YADAV,Dharma Samaj Party,778,11,789,0.04
17,CHAMAKURA RAJAIAH ALIAS PIDIKILI RAJU,Social Justice Party of India,722,1,723,0.04
18,NARRA SUKHENDER REDDY,Vidhyarthula Rajakiya Party,690,4,694,0.04
19,KANTE SAYANNA,Independent,539,0,539,0.03
20,JUVVA PHANI KUMAR CHOWDARY,Jai Bharat National Party,505,3,508,0.03
21,YADISHWAR NAKKA,Telangana Republican Party,492,2,494,0.03
22,R. SUBENDER SINGH,Independent,446,1,447,0.02
23,NOTA,None of the Above,13206,160,13366,0.69
1,G. KISHAN REDDY,Bharatiya Janata Party,468311,4701,473012,45.15
2,DANAM NAGENDER,Indian National Congress,420220,2848,423068,40.38
3,PADMA RAO . T,Bharat Rashtra Samithi,128680,906,129586,12.37
4,DR. BASWANANDAM DANDEPU,Bahujan Samaj Party,2248,20,2268,0.22
5,SARARAPU SRISAILAM,Telangana Rajya Samithi,1726,1,1727,0.16
6,SAPAVAT SUMAN,Independent,996,0,996,0.1
7,R.S.J. THOMAS,Jai Swaraj Party,971,3,974,0.09
8,RAASALA VINOD KUMAR,Dharma Samaj Party,820,6,826,0.08
9,KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,678,1,679,0.06
10,MACHCHERLA VENKATA REDDY,Independent,672,1,673,0.06
11,MOHAMMED AKRAM ALI KHAN,Independent,596,1,597,0.06
12,MOHAMMED RAFIUDDIN KALEEM,All India Majlis-E-Inquilab-E-Millat,478,6,484,0.05
13,LUNAVATH HARI RAM,Independent,474,0,474,0.05
14,BOGGULA SUNIITHHA,Independent,417,1,418,0.04
15,MOHAMMED AYUB ALI,Anna YSR Congress Party,406,4,410,0.04
16,MOHAMMED FASI UDDIN,Independent,341,1,342,0.03
17,PULIMAMIDI VENKATESH GUPTA,Independent,340,0,340,0.03
18,IBRAHIM KHAN,Independent,315,5,320,0.03
19,ANDRAPU SUDARSHAN,Independent,312,3,315,0.03
20,JUNAID ANAM SIDDIQUI,Independent,294,1,295,0.03
21,KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,283,2,285,0.03
22,DR. R. GANGADHAR,Socialist Unity Centre Of India (COMMUNIST),280,1,281,0.03
23,UTTAM PRAVEEN KUMAR,Independent,273,1,274,0.03
24,GOWLIKAR SONY,Social Justice Party of India,269,3,272,0.03
25,BATHULA RAVI,Independent,252,0,252,0.02
26,P C LINGANNA,Independent,243,0,243,0.02
27,MOHAMMED IBRAHIM AHMED,Independent,240,2,242,0.02
28,SANGALA FLORY,Independent,223,0,223,0.02
29,MOHAMMED ABDUL AZEEM,Independent,220,1,221,0.02
30,GANESH BHARGAVI GUNDE,Jai Bharat National Party,220,3,223,0.02
31,V. K. VIJAYA LAKSHMI,Independent,213,3,216,0.02
32,CHEEKATI BHUPAL GOUD,All India Backward People Sunami Party,209,1,210,0.02
33,BOMMAKANTI SOWMYA,Pyramid Party of India,201,4,205,0.02
34,KRUPAVARAM GANDU,Independent,159,2,161,0.02
35,PAMPARI NARENDER,Independent,143,0,143,0.01
36,SYED KHADER,Independent,132,1,133,0.01
37,B . SUNITHA RANI,Socialist Party (India),130,3,133,0.01
38,CHALIKA CHANDRA SEKHAR,Independent,129,0,129,0.01
39,PAGIDIPALLI SHYAMSON,Viduthalai Chiruthaigal Katchi,126,4,130,0.01
40,REDDYMALLA PARVATHI,Independent,126,1,127,0.01
41,VELAMARTHI. RAVI KIRAN,Independent,123,1,124,0.01
42,K. MURALI KRISHNA,Independent,120,0,120,0.01
43,DEVENDAR KONNE,Independent,117,0,117,0.01
44,KONDOJU MOHAN,Independent,113,1,114,0.01
45,MD KHALEEL UZ ZAMA,Independent,110,1,111,0.01
46,NOTA,None of the Above,5092,74,5166,0.49
1,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,659278,2703,661981,61.28
2,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,320481,3413,323894,29.98
3,MOHAMMED WALIULLAH SAMEER,Indian National Congress,62497,465,62962,5.83
4,SRINIVAS YADAV GADDAM,Bharat Rashtra Samithi,18498,143,18641,1.73
5,MEKALA RAGHUMA REDDY,Yuga Thulasi Party,2231,1,2232,0.21
6,DR.J.PADMAJA,Viduthalai Chiruthaigal Katchi,899,1,900,0.08
7,K.S.KRISHNA,Bahujan Samaj Party,763,6,769,0.07
8,RAMESH KUMAR MATANGI,Sakala Janula Party,663,0,663,0.06
9,KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,561,1,562,0.05
10,M.JOHNSON,All India Mahila Empowerment Party,515,0,515,0.05
11,JAMEEL SAYED,Alliance of Democratic Reforms Party,492,0,492,0.05
12,ASHOK KUMAR MAMBA,Maa Telangana Party,422,1,423,0.04
13,DR.LUBNA SARWATH,Vidhyarthula Rajakiya Party,410,1,411,0.04
14,SARAF TULASI GUPTA,Praja Ektha Party,281,0,281,0.03
15,V.SHANKER,Yuva Taram Party,275,1,276,0.03
16,GADDAM HARISH GOUD,Dharma Samaj Party,269,2,271,0.03
17,SYED ANWAR,Independent,251,0,251,0.02
18,KHAJA MOINUDDIN,All India Majlis-E-Inquilab-E-Millat,233,1,234,0.02
19,AMJAD KHAN,Independent,195,1,196,0.02
20,AMBI HANUMANTH RAO,Socialist Party (India),161,1,162,0.01
21,SHAIK BASHA,Dalita Bahujana Party,153,0,153,0.01
22,M.K.AHMED,Independent,149,0,149,0.01
23,SALVERU RAMESH,Indian Praja Congress,141,0,141,0.01
24,L.ASHOKNATH,Telangana Prajaa Jeevana Rythu Party,141,0,141,0.01
25,J.SHYAMSUNDER RAO,Independent,138,0,138,0.01
26,ANDE USHA KANNA,Bahujan Mukti Party,133,0,133,0.01
27,SATTI SHABABU REDDY,Independent,123,0,123,0.01
28,ANIL SEN,Independent,111,0,111,0.01
29,CHAITANYA KUMAR REDDY PELLAKURU,Independent,110,0,110,0.01
30,SILIVERU NARESH,Telangana Jaghir Party,103,0,103,0.01
31,NOTA,None of the Above,2867,39,2906,0.27
1,GODAM NAGESH,Bharatiya Janata Party,558936,9232,568168,45.98
2,ATHRAM SUGUNA,Indian National Congress,472333,5183,477516,38.65
3,ATHRAM SAKKU,Bharat Rashtra Samithi,136463,837,137300,11.11
4,MALOTHU SYAMLAL NAYAK,Alliance of Democratic Reforms Party,7489,10,7499,0.61
5,MESRAM JANGUBAPU,Bahujan Samaj Party,6689,55,6744,0.55
6,RATHOD SUBASH,Independent,6434,94,6528,0.53
7,BUKYA JAIVANTH RAO,Independent,6427,19,6446,0.52
8,CHAVAN SUDHARSHAN,Anna YSR Congress Party,4618,26,4644,0.38
9,GANGADEVI MESRAM,Dharma Samaj Party,3445,23,3468,0.28
10,N. TIRUPATI,Vidhyarthula Rajakiya Party,2284,8,2292,0.19
11,KODAPA VAMAN RAO,Gondwana Dandkaranya Party,1677,8,1685,0.14
12,GEDAM. SAGAR,India Praja Bandhu Party,1537,8,1545,0.13
13,NOTA,None of the Above,11650,112,11762,0.95
1,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,798517,11365,809882,48.34
2,DR GADDAM RANJITH REDDY,Indian National Congress,630861,6124,636985,38.02
3,KASANI GYANESHWAR KASANI,Bharat Rashtra Samithi,177540,1428,178968,10.68
4,RAMULU BINGI,Yuga Thulasi Party,4281,3,4284,0.26
5,KONDA VISHVESHWAR REDDY,All India Forward Bloc,3736,12,3748,0.22
6,SRIDEVI M,Alliance of Democratic Reforms Party,2684,4,2688,0.16
7,MOHAMMED SALEEM,Rashtriya Praja Congress (Secular),2372,1,2373,0.14
8,SAHITHI DASARI,Independent,1924,14,1938,0.12
9,RANJIT REDDY GADE,Revolutionary Socialist Party,1693,5,1698,0.1
10,MOHD SHAKEEL,Desh Janhit Party,1646,1,1647,0.1
11,THOTLA RAGHAVENDER MUDIRAJ,Dharma Samaj Party,1599,49,1648,0.1
12,JANAPALA DURGA PRASAD,Independent,1516,1,1517,0.09
13,JALEEL AHMED,Independent,1508,2,1510,0.09
14,B V RAMESH NAIDU,Socialist Party (India),1494,1,1495,0.09
15,PHANI PRASAD KATAKAM,Social Justice Party of India,1425,1,1426,0.09
16,SUGURU SRINIVAS,Jai Swaraj Party,1385,1,1386,0.08
17,G MALLESHAM GOUD,Independent,1239,1,1240,0.07
18,KATHULA YADAIAH,Independent,1155,0,1155,0.07
19,DURGA PRASAD T,Praja Velugu Party,1134,5,1139,0.07
20,V PANDU,Independent,1070,5,1075,0.06
21,SANEM RAJU GOUD,Praja Ektha Party,970,1,971,0.06
22,GONE SRINIVAS REDDY,Independent,752,0,752,0.04
23,GOVIND LAL,Independent,661,0,661,0.04
24,MOHAMMED ABDUL QAVI ABBASI,All India Majlis-E-Inquilab-E-Millat,635,0,635,0.04
25,MOHAMMAD PASHA,Independent,628,0,628,0.04
26,P GOVIND,Bahujan Mukti Party,600,11,611,0.04
27,EESARI SURYAPRAKASH REDDY,Independent,581,2,583,0.03
28,SUDHAKAR VANAM,Marxist Communist Party of India (United),578,3,581,0.03
29,NARASIMHA REDDY DYAPA,Telangana Republican Party,524,1,525,0.03
30,MOHAMMED IQBAL,Independent,493,1,494,0.03
31,VISHWAKARMA SAPTHAGIRI,Independent,489,0,489,0.03
32,ANKAGALA PRAVEEN KUMAR,Independent,487,1,488,0.03
33,ANJANEYULU NEERATI,Independent,446,3,449,0.03
34,KANDIKEKAR SRINIVAS,Independent,445,1,446,0.03
35,CHINTALAGARI VENKAT SWAMY,Blue India Party,431,5,436,0.03
36,PALAMAKULA MADHU,India Praja Bandhu Party,428,2,430,0.03
37,KAVALI SUKUMAR,Independent,392,5,397,0.02
38,SERUBAI VASANTH KUMAR,Rashtra Samanya Praja Party,311,1,312,0.02
39,MOHAMMED MUSTAFA RIZWAN,Independent,300,1,301,0.02
40,MOHAMMAD RIAZUR REHMAN SHAIK,Independent,283,2,285,0.02
41,MOHAMMED ALI,Independent,247,1,248,0.01
42,AMIR SAJID,Independent,226,2,228,0.01
43,MOHAMMED AFSAR QUDOOS,Independent,179,0,179,0.01
44,NOTA,None of the Above,6313,110,6423,0.38
1,ARUNA. D. K,Bharatiya Janata Party,506747,4000,510747,41.66
2,CHALLA VAMSHI CHAND REDDY,Indian National Congress,503111,3136,506247,41.29
3,MANNE SRINIVAS REDDY,Bharat Rashtra Samithi,154296,496,154792,12.62
4,VENKATESWARLU TALLADA,Alliance of Democratic Reforms Party,6375,4,6379,0.52
5,KINNERA YADAGIRI,Independent,4470,0,4470,0.36
6,KURA VENKATAIAH,Independent,4248,1,4249,0.35
7,HARINDER REDDY MALLELA,Independent,3814,1,3815,0.31
8,KARUKONDA SRINIVAS YADAV,Independent,3450,1,3451,0.28
9,HANUMESH,Independent,3225,0,3225,0.26
10,MOHD ALAUDDIN,Bahujan Samaj Party,3056,21,3077,0.25
11,GOVINDAMMA,Independent,2748,0,2748,0.22
12,GANTLAVELLI RAKESH,Dharma Samaj Party,2600,18,2618,0.21
13,UMASHANKAR NEMMIKANTI,Independent,2214,0,2214,0.18
14,DINESH,Independent,1726,1,1727,0.14
15,ANDHARI ANJAIAH,Independent,1669,6,1675,0.14
16,SANGEPAGA SAROJANAMMA,Independent,1563,2,1565,0.13
17,B. RAVINDER,Social Justice Party of India,1082,3,1085,0.09
18,K. UDAY TEJ NAIK,Independent,1027,0,1027,0.08
19,MARLA ANJANEYULU,Jai Swaraj Party,1019,1,1020,0.08
20,NADIMINTI SRINIVASULU,Independent,983,2,985,0.08
21,M. NAVEEN REDDY,Independent,951,1,952,0.08
22,VIJAYA,Independent,592,4,596,0.05
23,ANEESUR RAHMAN,Bahujan Mukti Party,503,0,503,0.04
24,A. SRINIVASULU,Independent,437,1,438,0.04
25,KADINTI SHANKAR REDDY,Viduthalai Chiruthaigal Katchi,427,5,432,0.04
26,NARESH REDDY,Telangana Jaghir Party,420,0,420,0.03
27,VENKATA RAMANA,Independent,352,1,353,0.03
28,BANDA SATYANARAYANA,Independent,263,1,264,0.02
29,PULLANGARI SANDEEP KUMAR REDDY,Independent,261,1,262,0.02
30,VISHNU VARDHAN REDDY THAPALAKINDHI,Independent,227,2,229,0.02
31,MUDAVATH BALARAJU NAIK,Independent,181,2,183,0.01
32,NOTA,None of the Above,4286,44,4330,0.35
1,DR.MALLU RAVI,Indian National Congress,459259,5813,465072,38.14
2,BHARATH PRASAD POTHUGANTI,Bharatiya Janata Party,364898,5760,370658,30.4
3,DR.R.S.PRAVEEN KUMAR,Bharat Rashtra Samithi,319216,2127,321343,26.36
4,AMBOJU RAVI,Alliance of Democratic Reforms Party,12544,10,12554,1.03
5,BESAMOLLA YOSEF,Bahujan Samaj Party,7138,80,7218,0.59
6,PILLELA SRIKANTH,Independent,6403,1,6404,0.53
7,BUDDHULA SRINIVAS,Independent,4358,3,4361,0.36
8,PALADHI NAGARAJU,Independent,4056,2,4058,0.33
9,AMARNATH,India Praja Bandhu Party,3703,6,3709,0.3
10,PULJALA BALAIAH,Independent,3582,2,3584,0.29
11,GALIMUDI GEETHA,Independent,3145,2,3147,0.26
12,KARNE. SHIREESHA @ BARRELAKKA,Independent,3037,50,3087,0.25
13,PAKIRA RAMULU,Independent,2833,6,2839,0.23
14,BIKSHAPATHI LANDA,Independent,1980,1,1981,0.16
15,AYYAPPA SUNIL,Rashtriya Praja Congress (Secular),1224,3,1227,0.1
16,GADDAM VIJAY,Bahujan Mukti Party,1006,3,1009,0.08
17,PRASANGI,Pyramid Party of India,892,0,892,0.07
18,VAGGU VINAY,Vidhyarthula Rajakiya Party,768,2,770,0.06
19,DASARI BHARATHI,Viduthalai Chiruthaigal Katchi,722,8,730,0.06
20,NOTA,None of the Above,4511,69,4580,0.38
1,KUNDURU RAGHUVEER,Indian National Congress,772264,12073,784337,60.5
2,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,219606,4826,224432,17.31
3,KANCHARLA KRISHNA REDDY,Bharat Rashtra Samithi,216681,1736,218417,16.85
4,JANAIAH NANDIPATI,Telangana Sakalajanula Party,10832,27,10859,0.84
5,NAGARAJU BANDARU,Independent,7122,6,7128,0.55
6,ANJAIAH VIRIGINENI,Bahujan Samaj Party,7075,102,7177,0.55
7,MARAM VENKAT REDDY,Independent,5962,5,5967,0.46
8,PANUGOTU LALASINGH,Independent,5277,9,5286,0.41
9,THALARI RAMBABU,Dharma Samaj Party,5028,94,5122,0.4
10,RAMESH SUNKARA,Independent,3566,3,3569,0.28
11,POLISHETTY VENKATESHWARLU,Independent,3202,10,3212,0.25
12,KUKKALA VENKANNA,Independent,2561,5,2566,0.2
13,CHOLLETI PRABHAKAR,Independent,2482,22,2504,0.19
14,GOLI SAIDULU,Independent,1770,9,1779,0.14
15,MARRI NEHEMIAH,Independent,1653,9,1662,0.13
16,RAVI PALAKURI,Independent,1545,2,1547,0.12
17,VASKULA MATTAIAH,Marxist Communist Party of India (United),1033,7,1040,0.08
18,KUNDARAPU SRIKANTH,Independent,940,7,947,0.07
19,RACHA SUBHADRA REDDY,Socialist Party (India),835,11,846,0.07
20,LINGAM KRISHNA,Independent,666,0,666,0.05
21,KINNERA YADAIAH,Independent,654,7,661,0.05
22,SHIRISHALA SRINAIAH,Independent,513,1,514,0.04
23,NOTA,None of the Above,5869,217,6086,0.47
1,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,623762,5381,629143,44.89
2,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,401513,5460,406973,29.04
3,KYAMA MALLESH,Bharat Rashtra Samithi,254838,1349,256187,18.28
4,MAHAMD JAHANGIR,Communist Party of India (Marxist),28412,318,28730,2.05
5,RAMESH GOUD THALLAPELLY,Alliance of Democratic Reforms Party,8130,16,8146,0.58
6,AITARAJU ABENDER,Bahujan Samaj Party,7703,66,7769,0.55
7,ASURA BALU,Independent,5747,3,5750,0.41
8,PULIGILLA BIXAPATHI YADAV,National Nava Kranthi Party,4718,0,4718,0.34
9,BUSHIPAKA VENKATAIAH,Independent,4674,1,4675,0.33
10,POOSA SRINIVAS,Telangana Rashtra Punahnirmana Samithi,4431,2,4433,0.32
11,NARENDRAA VEMULA,Jai Swaraj Party,4303,1,4304,0.31
12,KONGARI LINGA SWAMY,Dharma Samaj Party,4029,64,4093,0.29
13,TARIGOPPULA MAHENDER,Social Justice Party of India,3088,1,3089,0.22
14,KARINGULA YADAGIRI,Independent,2607,5,2612,0.19
15,BETHI NARENDER,Independent,2168,0,2168,0.15
16,M. GANESH,Pyramid Party of India,1996,14,2010,0.14
17,MALLEBOINA PARAMESH YADAV,Independent,1895,2,1897,0.14
18,LINGIDI. VENKATESWARLU,Prajavani Party,1792,0,1792,0.13
19,V. SADANANDA REDDY,People Protection Party,1734,3,1737,0.12
20,DHERAVATH GOPI NAIK,Jai Maha Bharath Party,1678,4,1682,0.12
21,PENTA RAMESH,Independent,1646,1,1647,0.12
22,RACHA SUBHADRA REDDY,Socialist Party (India),1444,21,1465,0.1
23,VARIKUPPALA. KRISHNA VADDERA,Independent,1361,5,1366,0.1
24,BASHABOINA LAKSHMAIAH,Independent,1319,1,1320,0.09
25,NUNE VENKAT SWAMY,Independent,919,4,923,0.07
26,NARRI. SWAMY KURUMA,Independent,897,1,898,0.06
27,JANGA. SUJATHANAVEEN REDDY,Independent,847,0,847,0.06
28,ERRA SURYAM,Viduthalai Chiruthaigal Katchi,777,1,778,0.06
29,"KONGARI, MALLAIAH",Independent,631,2,633,0.05
30,DR : MORIGADI KRISHNA,Independent,616,1,617,0.04
31,KANDE. RAMARAJU,Independent,577,2,579,0.04
32,KOTHOJU SRINIVASU,National Maha Sabha Party,567,2,569,0.04
33,AMIREDDY KIRAN REDDY,Independent,540,1,541,0.04
34,CHANDU NAYAK MEGAVATH,Independent,501,1,502,0.04
35,KADIRE KIRAN KUMAR,Bahujan Republican Socialist Party,476,2,478,0.03
36,KARUNAKAR REDDY NALLA,Jai Bharat National Party,446,1,447,0.03
37,KANDADI. MANIPAL REDDY,Telangana Republican Party,432,1,433,0.03
38,UDARI MALLESH,Independent,404,2,406,0.03
39,ANIL KUMAR GADEPAKA,Independent,390,3,393,0.03
40,NOTA,None of the Above,4571,75,4646,0.33
1,KADIYAM KAVYA,Indian National Congress,575566,5728,581294,45.85
2,AROORI RAMESH,Bharatiya Janata Party,355875,5080,360955,28.47
3,Dr. MARAPALLY SUDHEER KUMAR,Bharat Rashtra Samithi,230820,1213,232033,18.3
4,AMBOJU BUDDAIAH,Alliance of Democratic Reforms Party,11103,12,11115,0.88
5,KALPANA PANJA,Bahujan Samaj Party,9230,97,9327,0.74
6,KONGARA ANIL KUMAR,Independent,6259,0,6259,0.49
7,ANIL KUMAR GADEPAKA,Independent,4482,4,4486,0.35
8,BUNGA JYOTHI RAMANA,Aihra National Party,4262,3,4265,0.34
9,MEKALA SUMAN,Dharma Samaj Party,3972,66,4038,0.32
10,AR NENA PREM READY RIPEEKA,Mana Telangana Rashtra Samaikya Party,3625,9,3634,0.29
11,KOYYADA NARESH,Independent,3283,3,3286,0.26
12,PRAMEELA JANNU,Independent,3022,0,3022,0.24
13,BARIGELA SHIVA,Independent,2947,2,2949,0.23
14,S P K SAGAR,Jai Maha Bharath Party,2769,4,2773,0.22
15,PASULA RAVI,Republican Party of India (Athawale),2220,19,2239,0.18
16,DEVARAJU PENDELA,Rashtriya Praja Congress (Secular),2072,11,2083,0.16
17,POTHARAJU NARASIMHARAJU,Independent,1955,0,1955,0.15
18,BOLLAM VIJAY KUMAR,Independent,1821,4,1825,0.14
19,MACHA DEVENDER,Viduthalai Chiruthaigal Katchi,1753,16,1769,0.14
20,ROOPA POLEPAKA,Independent,1657,2,1659,0.13
21,NARMADA PRAVEEN,Pyramid Party of India,1657,7,1664,0.13
22,DHAYAKAR GAJJI,Independent,1637,1,1638,0.13
23,POGULA ASHOK,Independent,1333,4,1337,0.11
24,THANDRA ESHWAR,Independent,1290,2,1292,0.1
25,MANDA NARESH,Independent,1044,7,1051,0.08
26,KOTHAPALLI SAVITHRI,Marxist Communist Party of India (United),1018,5,1023,0.08
27,PUTTA VINOD KUMAR,Independent,908,1,909,0.07
28,BOCHU RAJU,Independent,905,8,913,0.07
29,PAITHARA ACHYUTH,Independent,901,5,906,0.07
30,MANGALAPELLI ASHAIAH,Independent,847,0,847,0.07
31,GADDAM CHIRANJEEVI,Independent,825,1,826,0.07
32,MOTHKUPELLY PRABHAKAR,Independent,818,1,819,0.06
33,GANNARAPU RAVINDER,Independent,752,0,752,0.06
34,GANIPAKA PRADEEP,Independent,710,3,713,0.06
35,RAMESH BABU SHANIGARAPU,Independent,658,4,662,0.05
36,Dr GADAM MALLESH,Jai Bharat National Party,563,4,567,0.04
37,THALLAPALLY VENKATAIAH,Independent,538,0,538,0.04
38,BASHIPAKA SUDHAKAR,Independent,503,2,505,0.04
39,RK GANAPURAM,Independent,468,6,474,0.04
40,CHILUVERU PRATHAP,Independent,399,2,401,0.03
41,THATIKAYALA SATHISH BABU,Independent,382,2,384,0.03
42,CHILUMULLA SUJATHA,Independent,377,2,379,0.03
43,NOTA,None of the Above,8209,171,8380,0.66
1,BALRAM NAIK PORIKA,Indian National Congress,608505,4269,612774,55.27
2,KAVITHA MALOTH,Bharat Rashtra Samithi,262416,1193,263609,23.77
3,PROFESSOR. AZMEERA SEETARAM NAIK,Bharatiya Janata Party,108775,1669,110444,9.96
4,ARUN KUMAR MYPATHI,All India Forward Bloc,38252,884,39136,3.53
5,RAGHU VARMA JATOTHU,Alliance of Democratic Reforms Party,11879,14,11893,1.07
6,DURGA PALVANCHA,Independent,10112,7,10119,0.91
7,KONETI SUJATHA,Bahujan Samaj Party,8058,35,8093,0.73
8,ANIL KUMAR BODA,Independent,6419,12,6431,0.58
9,CHANDA LINGAIAH,Independent,5075,25,5100,0.46
10,MOKALLA MURALIKRISHNA,Independent,4056,6,4062,0.37
11,SOYAM KANNA RAJU,Gondvana Gantantra Party,3727,28,3755,0.34
12,BANOTH PREM NAYAK [BPN],Independent,3707,5,3712,0.33
13,PAYAM.SINGARAJU,Independent,3192,4,3196,0.29
14,PADIGA YARRAIAH,Independent,2873,14,2887,0.26
15,DV NAIK,Independent,2780,1,2781,0.25
16,GUGULOTH SHEKAR NAIK,Independent,2533,9,2542,0.23
17,RAVVA. BHADRAMMA,Dharma Samaj Party,2234,10,2244,0.2
18,SODE VENKATESWARLU,Gondwana Dandkaranya Party,2154,18,2172,0.2
19,BANOTH LINGYA NAIK,Independent,1712,3,1715,0.15
20,BODA PRASHANTH,Independent,1588,2,1590,0.14
21,BURKA KRISHNAVENI,Socialist Party (India),1438,10,1448,0.13
22,BANOTHU LINGANNA,Blue India Party,1367,0,1367,0.12
23,VANKUDOTHU RAVI KUMAR (RAVANNA),Telangana Jaghir Party,1117,8,1125,0.1
24,NOTA,None of the Above,6511,80,6591,0.59
1,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,759603,7326,766929,61.29
2,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,297592,1490,299082,23.9
3,VINOD RAO TANDRA,Bharatiya Janata Party,117075,1561,118636,9.48
4,VASAM RAMAKRISHNA DORA,Independent,6200,15,6215,0.5
5,ULLENGALA YADAGIRI,Independent,6063,1,6064,0.48
6,ADVOCATE YERRA KAAMESH,Bahujan Samaj Party,6030,71,6101,0.49
7,KUKKALA NAGAIAH,Alliance of Democratic Reforms Party,5724,19,5743,0.46
