S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
15,NOTA,None of the Above,9572,45,9617,0.9
1,MANOJ KUMAR,Indian National Congress,509977,3027,513004,46.76
2,SHIVESH KUMAR,Bharatiya Janata Party,492177,1670,493847,45.01
3,SANTOSH KUMAR,Bahujan Samaj Party,45491,107,45598,4.16
4,SHIV SHANKAR RAM,Independent,8009,10,8019,0.73
5,SANTOSH KUMAR KHARWAR,Bhartiya Gandhiwadi Party,4817,5,4822,0.44
6,BANARSI DAS,Peoples Party of India (Democratic),4498,0,4498,0.41
7,AMIT KUMAR AMBEDKAR,Bahujan Mukti Party,2823,11,2834,0.26
8,PUNAM DEVI,Jantantra Awaj Party,2634,20,2654,0.24
9,UJARAN MUSAHAR,Jan Janwadi Party,2616,4,2620,0.24
10,NANDLAL RAM,Rashtriya Samaj Paksha,1956,4,1960,0.18
11,NOTA,None of the Above,17160,59,17219,1.57
1,RAJA RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),378922,1659,380581,36.89
2,PAWAN SINGH,Independent,273546,1177,274723,26.63
