S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
4,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53
5,NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23
6,BUSSA. NAGARAJU,Independent,1311,7,1318,0.1
7,GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08
8,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07
9,KONDRU KIRAN KUMAR,Independent,791,6,797,0.06
10,KATTA ANAND BABU,Independent,704,25,729,0.06
11,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05
12,KATTA HEMANAND,Independent,547,2,549,0.04
13,PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03
14,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02
15,CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02
16,NOTA,None of the Above,13599,124,13723,1.06
1,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35
2,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,644052,7643,651695,45.82
3,EDA SUDHAKARA REDDY,Indian National Congress,25803,919,26722,1.88
4,DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party,6238,76,6314,0.44
5,BUCHI EDUKONDALU,Independent,3046,2,3048,0.21
6,PODILI RAMBABU,Independent,3035,38,3073,0.22
7,ORSU VEENA,Jai Bharat National Party,2242,25,2267,0.16
8,BONTHA RANGA REDDY,Independent,1923,0,1923,0.14
9,BODDU KRANTHI KUMAR,Independent,1797,1,1798,0.13
10,MOHAN GOUD J V,Independent,1442,5,1447,0.1
11,U MADHU BABU,Independent,1006,2,1008,0.07
12,KARATAPU RAJU,Independent,730,5,735,0.05
13,JAGADEESH RAYAPATI,Independent,713,12,725,0.05
14,DEVIREDDY BALANJANEYULU,Independent,710,6,716,0.05
15,HARI PRASAD TUPAKULA,Independent,706,5,711,0.05
16,PASAM VENKATESWARLU YADAV,Samajwadi Party,699,44,743,0.05
17,SURYA TEJA KOTA,Pyramid Party of India,674,9,683,0.05
18,AKUMALLA MALLIKARJUNA REDDY,Independent,575,0,575,0.04
19,VESHAPOGU GURAVABABU,Independent,457,4,461,0.03
20,KOMMU YOHANU,Liberation Congress Party,454,7,461,0.03
21,SESHUBABU GUDDANTI,Independent,449,0,449,0.03
22,SINGAMNENI SREEKANTH,Independent,407,3,410,0.03
