S.No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of votes
21,PURUSHOTTAM MANIKPURI,Independent,1212,0,1212,0.1
22,PRIYANKA PATEL,Republican Party of India (A),1197,7,1204,0.1
23,MAHENDRA KUMAR SHRIWAS (MANJU),Independent,1187,0,1187,0.1
24,SHEKH RAUF,Independent,1168,0,1168,0.1
25,SHIVPUJAN SINGH,Independent,1036,0,1036,0.08
26,SHANTI BAI MARAVI,Independent,858,3,861,0.07
27,RAMESH DAS MAHANT,Independent,823,0,823,0.07
28,NOTA,None of the Above,6076,21,6097,0.5
1,TOKHAN SAHU,Bharatiya Janata Party,723194,1743,724937,53.25
2,DEVENDRA YADAV,Indian National Congress,558942,1437,560379,41.16
3,ASHWANI RAJAK,Bahujan Samaj Party,13175,47,13222,0.97
4,ANAND URAWAN,Independent,5894,4,5898,0.43
5,ANILESH MISHRA (MAHARAJ),Independent,5374,2,5376,0.39
6,KULESH KUMAR SAHU,Independent,4439,4,4443,0.33
7,ASHAVANT SAHOO,Bhartiya Shakti Chetna Party,4345,9,4354,0.32
8,SHRIKANT MALHWAYR (KASER),Loktantra Congress Party,4197,4,4201,0.31
9,VIKRAMPRASAD JOGI,Independent,2862,0,2862,0.21
10,KESHAV PRASAD,Independent,2765,2,2767,0.2
11,SUDIEP SHRIVASTAVA,Hamar Raj Party,2310,2,2312,0.17
12,RUPRAM SAHU,Independent,2261,0,2261,0.17
13,KRISHNA NANDAN SINGH,Independent,2020,0,2020,0.15
14,ROSHAN KUMAR,Independent,1920,0,1920,0.14
15,DINESH PRATAP SINGH KHUSRO NIKHIL,Rashtriya Gondvana Party,1792,16,1808,0.13
16,RAMESHWAR SAHU,Independent,1761,0,1761,0.13
17,VIJAY KUMAR,Independent,1625,1,1626,0.12
18,YASHUTOSH LAHARE,Ambedkarite Party of India,1271,3,1274,0.09
19,GHANSHYAM URF SADHELAL BHARDWAJ,Independent,1251,0,1251,0.09
20,VEDMANI SINGH KSHATRIYA (THAKUR),Independent,1163,0,1163,0.09
21,SHEKHAR BANJARE,Independent,1160,0,1160,0.09
22,SIDDHRAM LAHARE,Rashtriya Jansabha Party,1149,1,1150,0.08
23,RAMPYARE RAI,Independent,1112,0,1112,0.08
24,NAND KISHORE RAJ,Gondvana Gantantra Party,1049,12,1061,0.08
25,BHUNESHWAR MARKO,Independent,967,3,970,0.07
26,RAJKUMAR SAHU,Independent,828,1,829,0.06
27,BHAGWAT PATRE,Prabuddha Republican Party,710,2,712,0.05
28,LAKSHMAN PATHAK,Ekam Sanatan Bharat Dal,698,1,699,0.05
29,ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),Shakti Sena (Bharat Desh),690,0,690,0.05
30,RAJENDRA KUMAR TANDAN,Independent,654,2,656,0.05
31,SALIK RAM JOGI,Independent,575,1,576,0.04
32,BASANT BANSL,Independent,564,0,564,0.04
33,DEEPMALA CHOUHAN,Chhattisgarh Vikas Ganga Rashtriya Party,559,6,565,0.04
34,MAHESH KUMAR SONWANI,Independent,559,1,560,0.04
35,DEV PRASAD BRAIHA,Independent,511,0,511,0.04
36,SANJAY PRAKASH SAHU,Independent,435,1,436,0.03
37,PARAS RAM YADAV,Independent,414,1,415,0.03
38,NOTA,None of the Above,2842,7,2849,0.21
1,SANTOSH PANDEY,Bharatiya Janata Party,711439,618,712057,49.25
2,BHUPESH BAGHEL,Indian National Congress,667078,568,667646,46.18
3,A.H. SIDDIQUI,Independent,10737,0,10737,0.74
4,DEVLAL SINHA (SONVANSHI),Bahujan Samaj Party,9659,9,9668,0.67
5,NARAD PRASAD NISHAD,Shakti Sena (Bharat Desh),8029,1,8030,0.56
6,SUKHDEV SINHA,Independent,7998,3,8001,0.55
7,VISHESH DHAMGAYE,Independent,4872,1,4873,0.34
8,BHUVAN SAHU,Independent,4171,3,4174,0.29
9,LALITA KANWAR,Hamar Raj Party,2139,10,2149,0.15
10,ER. BASANT KUMAR MESHRAM,Independent,1818,2,1820,0.13
11,RAMESH RAJPUT,Bhartiya Shakti Chetna Party,1735,2,1737,0.12
12,TRIVENI PADOTI,Independent,1607,6,1613,0.11
13,RAMFAL PATIL,Nyaydharmsabha,1535,2,1537,0.11
14,AJAY PALI,Independent,1114,0,1114,0.08
15,LAKHAN SING TANDAN,Rashtriya Jansabha Party,1056,0,1056,0.07
16,NOTA,None of the Above,9152,401,9553,0.66
1,VIJAY BAGHEL,Bharatiya Janata Party,954356,2141,956497,62.0
2,RAJENDRA SAHU,Indian National Congress,517277,994,518271,33.59
3,DILIP RAMTEKE,Bahujan Samaj Party,13290,43,13333,0.86
4,ANOOP KUMAR PANDEY,Independent,7765,1,7766,0.5
5,DR. ANJU KEME,Ekam Sanatan Bharat Dal,5237,4,5241,0.34
6,ALI HUSSAIN SIDDIQUI,Independent,5046,4,5050,0.33
7,ARUN JOSHI,Independent,4751,2,4753,0.31
8,DHRUV KUMAR SONI URF LANGUR SONI,Independent,3813,2,3815,0.25
9,KHILANAND JASPAL,Independent,3280,1,3281,0.21
10,SUKHADEV TANDON,Rashtriya Jansabha Party,2615,2,2617,0.17
11,ASHOK JAIN,Independent,1902,0,1902,0.12
12,BALDEV SAHU,Independent,1610,3,1613,0.1
13,PUSHPA MAIRISHA,Ambedkarite Party of India,1556,5,1561,0.1
14,HARICHAND THAKUR,Independent,1451,1,1452,0.09
15,SAVITA SHAILENDRA BANJARE,Shakti Sena (Bharat Desh),1393,3,1396,0.09
16,RAKESH SAHU,Nyaydharmsabha,1261,1,1262,0.08
17,SHITKARAN MAHILWAR,Aazad Samaj Party (Kanshi Ram),1181,2,1183,0.08
18,DR. HARISHCHANDRA SAHU,Independent,1116,0,1116,0.07
19,SHANKAR THAKUR,Gondvana Gantantra Party,1064,9,1073,0.07
20,YASHWANT SITARAM SAHU,Bhartiya Shakti Chetna Party,899,2,901,0.06
21,SHYAM SUNDER SAHU,Loktantra Congress Party,897,2,899,0.06
22,VIKAS SHARMA,Lokshahi Ekta Party,798,0,798,0.05
23,SANTOSH KUMAR MARKANDE,Independent,646,4,650,0.04
24,BHAGBALI SIVARE,Independent,388,1,389,0.03
25,BHANUPRATAP CHATURVEDI,Independent,351,0,351,0.02
26,NOTA,None of the Above,5596,21,5617,0.36
1,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,1047447,2904,1050351,66.19
2,VIKAS UPADHYAY,Indian National Congress,473656,1410,475066,29.94
3,MAMTA RANI SAHU,Bahujan Samaj Party,9201,98,9299,0.59
4,SAVITA SHAILENDRA BANJARE,Shakti Sena (Bharat Desh),8765,3,8768,0.55
5,RADHESHWARI GAIKWAD,Independent,4629,1,4630,0.29
6,SURESH KUMAR NETAM,Hamar Raj Party,3492,7,3499,0.22
7,ANIL MAHOBIA,Right to Recall Party,2914,2,2916,0.18
8,ENGI. LAL BAHADUR YADAV,Gondvana Gantantra Party,2859,6,2865,0.18
9,RAMKRISHNA VERMA,Independent,2182,3,2185,0.14
10,YAKUB KHAN,Independent,2054,0,2054,0.13
11,VISHWAJIT HARODE,Socialist Unity Centre Of India (COMMUNIST),1920,0,1920,0.12
12,AMARNATH CHANDRAKAR,Independent,1608,0,1608,0.1
13,LAKHAMOO RAM TANDON,Rashtriya Jansabha Party,1347,4,1351,0.09
14,YASHUTOSH LAHARE,Ambedkarite Party of India,1312,0,1312,0.08
15,RAJESH DHRUV,Independent,1187,6,1193,0.08
16,BODHAN LAL FARIKAR,Independent,1059,0,1059,0.07
17,DAYA SHANKER NISHAD,Bhartiya Shakti Chetna Party,1051,11,1062,0.07
18,PILARAM ANANT,Sunder Samaj Party,1033,3,1036,0.07
19,ROHIT KUMAR PATIL,Independent,960,0,960,0.06
20,HIRA NAND NAGWANI (ASHOK BHAIYA),Republican Party of India (A),958,2,960,0.06
21,BHANJAN JANGADE (ADHIWAKTA),Bharatiya Bahujan Congress,818,3,821,0.05
22,MO. AMIN,Bhrashtachar Mukti Morcha,765,1,766,0.05
23,MANOJ VERMA,Independent,723,1,724,0.05
24,PITAMBAR JANGDE,Aazad Samaj Party (Kanshi Ram),701,4,705,0.04
25,ASHISH KUMAR TIWARI,Aap Sabki Apni Party,525,3,528,0.03
26,ENGI. BHANU PRATAP TANDE,Independent,500,3,503,0.03
27,MO. IMRAN KHAN,Independent,466,1,467,0.03
28,NEERAJ SAINI PUJARI,Dhoom Sena,434,0,434,0.03
29,SUDHANSHU BHUSHAN,Independent,413,1,414,0.03
30,RAMPRASAD PRAJAPATI,Independent,391,0,391,0.02
31,PRAVIN JAIN,Independent,369,0,369,0.02
32,VINAYAK DHAMGAYE,Independent,349,0,349,0.02
33,NANDNI NAYAK,Independent,336,1,337,0.02
34,PRAVISHANT SALOMAN,Independent,310,0,310,0.02
35,SAYED IRSHAD,Independent,295,0,295,0.02
36,DR. OMPRAKASH SAHU,Independent,291,3,294,0.02
37,MO. NASIR,Independent,254,0,254,0.02
38,NURI KHAN,Independent,252,0,252,0.02
39,NOTA,None of the Above,4414,34,4448,0.28
1,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,701291,2368,703659,53.06
2,TAMRADHWAJ SAHU,Indian National Congress,556764,1439,558203,42.09
3,PROFESSOR SURESH SAHU,Independent,11885,3,11888,0.9
4,BASANT SINHA,Bahujan Samaj Party,8823,37,8860,0.67
5,REKHRAM BAGH,Independent,7877,1,7878,0.59
6,GANESH RAM DHRUW,Hamar Raj Party,6626,25,6651,0.5
7,SANTOSH DARCHAND BANJARE,Independent,6049,5,6054,0.46
8,MUKESH KUMAR AGRAWAL,Independent,3689,2,3691,0.28
9,SUKHNANDAN DESHKAR,Independent,3554,1,3555,0.27
10,NITESH KUMAR RATRE,Sunder Samaj Party,2366,7,2373,0.18
11,DR. VIRENDRA CHAUDHRI,Bhartiya Shakti Chetna Party,2093,6,2099,0.16
12,KALIYA PRASAD SETH,Independent,1528,3,1531,0.12
13,MAHESH SWARN,Independent,1484,2,1486,0.11
14,CHAMPA LAL PATEL GURUJI DHARTI PAKD,Right to Recall Party,1376,3,1379,0.1
15,FARID QURAISHI,Gondvana Gantantra Party,1074,3,1077,0.08
16,ISHWAR MARKANDE,Independent,957,0,957,0.07
17,NARAD PRASAD NISHAD,Shakti Sena (Bharat Desh),897,2,899,0.07
18,NOTA,None of the Above,3801,39,3840,0.29
